ID,LigneDeTexte,CodePostal,Commune,Longitude,Latitude
1,301 Route de Biot - 06600-Antibes,06600,Antibes,1,1
2,Z.I. Saint-Maurice - 04100 - Manosque,04100,Manosque,1,1
3,RN 7 route de Nice - 06160 - Antibes,06160,Antibes,1,1
4,Route du Chateau - 13330 - La Barben,13330,La Barben,1,1
5,RD 89 - 06450 - Le Boreon,06450,Le Boreon,1,1
6,Nice Ouest - 06200 - Nice,06200,Nice,1,1
7,83340 Le Thoronet,83340,Le Thoronet,1,1
8,Route de Senanque - 84220 - Gordes,84420,Gordes,1,1
9,84460 Cheval-Blanc,84460,Chebal-Blanc,1,1
10,Rue Fort-Du-Sanctuaire - 13007 - Marseille,13007,Marseille,1,1
11,Port - 06000 - Nice,06000,Nice,1,1
12,Rue du Chateau - 06360 - Eze,6360,Eze,1,1
13,Z.I. Les bourguignons - 84400 - Apt,84400,Apt,1,1
14,Allee regards-de-Provence - 13002 - Marseille,13002,Marseille,1,1
15,17 Avenue Raymond-Gramaglia - 06320 - Cap-d'ail,6320,Cap-d'ail,1,1
16,Village des automates - 13760 - Saint-Cannat,13760,Saint-Cannat,1,1
17,Complexe Sportif les Bosquettes - 83120- Sainte-Maxime,83120,Sainte-Maxime,1,1
18,21 Boulevard Claude-Charles-Guillaume-Philippon - 13004 - Marseille,13004,Marseille,1,1
19,1 La Canebiere - 13001 - Marseille,13001,Marseille,1,1
